訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
中華民國糕餅西點烘焙職業工會全國聯合會,臺北市,159476,歐式麵包烘焙班,47,40,11140,20241229,20250119
臺北市挽臉從業人員職業工會,新北市,159479,臉部經絡美容班,42,22,11100,20240825,20241006
中華民國糕餅西點烘焙職業工會全國聯合會,臺北市,159481,幸福甜點烘焙班,47,40,11140,20240907,20241012
宜蘭縣營造業職業工會,宜蘭縣,159486,特色民宿木作裝置改造白天班,45,18,10930,20240826,20241014
新北市總工會,新北市,159487,芳香療法紓壓心靈實務班,36,20,9520,20240820,20241001
新北市總工會,新北市,159488,居家清潔用品實務班,54,20,12000,20240825,20241020
新北市總工會,新北市,159489,綠生活園藝植栽實務班,47,20,11540,20240828,20241016
臺北市公務機關總工會,臺北市,159496,英語聽說讀寫實用班,54,23,8690,20240824,20241019
花蓮縣宗教服務職業工會,花蓮縣,159497,宗教音樂表演訓練班,45,20,8450,20240906,20241227
社團法人宜蘭縣勞工教育協進會附設職業訓練中心,宜蘭縣,159501,三公噸以上之移動式起重機操作人員訓練班,38,34,8290,20240814,20240825
中華餐飲業產業工會,臺北市,159504,養生健康料理班,42,40,9880,20240820,20241008
文化部工會,臺北市,159507,商用英語進階實務班,54,23,8690,20240825,20241020
社團法人職場健康發展協會,臺北市,159511,企業目標設定與管理技巧提升訓練班,18,25,3240,20240825,20240908
雙北市職業總工會,臺北市,159514,花藝會展設計班,42,25,8650,20240817,20240928
宜蘭縣仲介業從業人員職業工會,宜蘭縣,159516,不動產營業員實務訓練班,21,20,3900,20240813,20240815
宜蘭縣仲介業從業人員職業工會,宜蘭縣,159517,不動產營業員實務訓練班,21,20,3900,20240910,20240912
台灣機械業工會聯合會,新北市,159518,從ExcelVBA到Power BI數據分析應用班,42,25,7960,20240826,20241125
臺北市勞動力服務人員職業工會,臺北市,159521,Excel進階與Power BI數據分析實務班,42,20,7760,20240904,20241211
新北市飲料調製運送服務職業工會,新北市,159535,飲料調製實務班,54,24,10000,20240810,20241005
基隆市產職業企業總工會,基隆市,159538,寵物美容造型基礎訓練班,45,20,9790,20240824,20241012
新北市飲料調製運送服務職業工會,新北市,159539,調酒實務班,60,24,12360,20240818,20241020
基隆市產職業企業總工會,基隆市,159541,電子商務帶貨銷售訓練班,42,20,8730,20240819,20240930
新北市冰果冷飲服務業職業工會,新北市,159543,和果子實務班,42,36,8870,20240908,20241013
臺北市飲料運送服務職業工會,新北市,159544,調酒實務訓練班,36,20,8350,20240825,20241103
